input_path,original_filename,output_basename,n_kept_worms,resumed,label_feldnr,label_x,label_y,label_r4s,label_complete,label_raw_text,sample_id,label_xy_confidence,count,qr_plot,qr_spalte,qr_reihe,qr_sample_id,qr_condition,qr_text,qr_detected
malchow_project\images\IMG_0802.jpg,IMG_0802.jpg,IMG-0802__qr-NOQR__07705f8c,217,True,34.0,2.0,8.0,358.0,True,FeldN;: 34 | X = | 2;y = 8 | R4s,358.0,high,217,34.0,2.0,8.0,358.0,R4S,FeldN;: 34 | X = | 2;y = 8 | R4s,True
malchow_project\images\IMG_0803.jpg,IMG_0803.jpg,IMG-0803__qr-NOQR__0c60ab8a,213,True,34.0,2.0,8.0,358.0,True,FeldNr: 34 | X=2;y = 8 | R4s,358.0,high,213,34.0,2.0,8.0,358.0,R4S,FeldNr: 34 | X=2;y = 8 | R4s,True
malchow_project\images\IMG_0805.jpg,IMG_0805.jpg,IMG-0805__qr-NOQR__af8666be,102,True,35.0,2.0,9.0,366.0,True,FeldNr: 35 | x=2;y = 9 | R4s | 366,366.0,high,102,35.0,2.0,9.0,366.0,R4S,FeldNr: 35 | x=2;y = 9 | R4s | 366,True
malchow_project\images\IMG_0806.jpg,IMG_0806.jpg,IMG-0806__qr-NOQR__f12d0383,89,True,35.0,2.0,9.0,366.0,True,FeldNr: 35 | R4s | 366 | x=2;y = 9,366.0,high,89,35.0,2.0,9.0,366.0,R4S,FeldNr: 35 | R4s | 366 | x=2;y = 9,True
malchow_project\images\IMG_0808.jpg,IMG_0808.jpg,IMG-0808__qr-NOQR__3172cde9,69,True,36.0,2.0,10.0,359.0,True,FeldNr: 36 | X=2;y = 10 | R4s,359.0,high,69,36.0,2.0,10.0,359.0,R4S,FeldNr: 36 | X=2;y = 10 | R4s,True
malchow_project\images\IMG_0809.jpg,IMG_0809.jpg,IMG-0809__qr-NOQR__9c4be3a3,123,True,36.0,2.0,10.0,359.0,True,FeldNr: 36 | X=2;y = 10 | R4s,359.0,high,123,36.0,2.0,10.0,359.0,R4S,FeldNr: 36 | X=2;y = 10 | R4s,True
malchow_project\images\IMG_0811.jpg,IMG_0811.jpg,IMG-0811__qr-NOQR__00beb081,173,True,36.0,2.0,10.0,359.0,True,FeldNr: 36 | X=2;y =10 | R4s,359.0,high,173,36.0,2.0,10.0,359.0,R4S,FeldNr: 36 | X=2;y =10 | R4s,True
malchow_project\images\IMG_0812.jpg,IMG_0812.jpg,IMG-0812__qr-NOQR__bdb67395,358,True,36.0,2.0,10.0,359.0,True,FeldNr: 36 | 10 | R4s | 359 | X=2;y =,359.0,high,358,36.0,2.0,10.0,359.0,R4S,FeldNr: 36 | 10 | R4s | 359 | X=2;y =,True
malchow_project\images\IMG_0814.jpg,IMG_0814.jpg,IMG-0814__qr-NOQR__07423bf7,67,True,38.0,2.0,12.0,216.0,True,FeldNr: 38 | X=2;y = 12 | R4s,216.0,high,67,38.0,2.0,12.0,216.0,R4S,FeldNr: 38 | X=2;y = 12 | R4s,True
malchow_project\images\IMG_0815.jpg,IMG_0815.jpg,IMG-0815__qr-NOQR__ef329240,154,True,38.0,2.0,12.0,216.0,True,FeldNr: 38 | X=2;y = 12 | R4s | 216,216.0,high,154,38.0,2.0,12.0,216.0,R4S,FeldNr: 38 | X=2;y = 12 | R4s | 216,True
malchow_project\images\IMG_0817.jpg,IMG_0817.jpg,IMG-0817__qr-NOQR__5c033b05,128,True,39.0,2.0,13.0,233.0,True,FeldNr: 39 | X=2;y =13 | R4s,233.0,high,128,39.0,2.0,13.0,233.0,R4S,FeldNr: 39 | X=2;y =13 | R4s,True
malchow_project\images\IMG_0818.jpg,IMG_0818.jpg,IMG-0818__qr-NOQR__94ec5f65,251,True,39.0,2.0,13.0,233.0,True,FeldNr: 39 | x=2;y = 13 | R4s,233.0,high,251,39.0,2.0,13.0,233.0,R4S,FeldNr: 39 | x=2;y = 13 | R4s,True
