qr_code,plot,reihe,spalte,genotype,is_smagrad_separator,larvae_manual,larvae_raw,obs
R4S_490,60.0,2.0,24.0,Hokkai 3-Go,False,4,4i,
R4S_443,61.0,2.0,25.0,NK Nemax,False,3,3i,
R4S_497,102.0,3.0,30.0,Express 617,False,1,1i,
R4S_377,115.0,4.0,7.0,R99,False,67,67i,
R4S_501,59.0,2.0,23.0,Express 617,False,0,0,
R4S_173,131.0,4.0,23.0,Robust,False,2,2i,
R4S_225,26.0,1.0,26.0,APEX-93_5 X GINYOU_3 DH LINE,False,0,0,
R4S_223,262.0,8.0,10.0,ALLESANDRO KWS,False,11,11i,
R4S_550,216.0,6.0,36.0,Smaragd,True,2,2i,
R4S_507,49.0,2.0,13.0,LSF 0519,False,0,0,
R4S_227,280.0,8.0,28.0,Rodeo,False,9,9i,
R4S_551,47.0,2.0,11.0,Baltia,False,0,0,
R4S_549,204.0,6.0,24.0,Parapluie,False,13,13i,
R4S_179,232.0,7.0,16.0,Missouri,False,4,4i,
R4S_157,87.0,3.0,15.0,Tenor,False,0,0,
R4S_143,109.0,4.0,1.0,Smaragd,True,6,6i,
R4S_220,144.0,4.0,36.0,Smaragd,True,5,5i,
R4S_230,274.0,8.0,22.0,K29,False,12,12i,
R4S_237,215.0,6.0,35.0,Smaragd,True,0,0,
R4S_148,234.0,7.0,18.0,Aragon,False,19,19i,
R4S_163,165.0,5.0,21.0,OLL 1,False,42,42i,
R4S_217,57.0,2.0,21.0,ALLESANDRO KWS,False,68,68i,
R4S_197,72.0,2.0,36.0,Smaragd,True,7,7i,
R4S_206,220.0,7.0,4.0,Smaragd,True,27,27i,
R4S_171,295.0,9.0,7.0,R31,False,4,4i,
R4S_240,55.0,2.0,19.0,Markus,False,33,33i,
R4S_540,261.0,8.0,9.0,Lorenz,False,3,3i,
R4S_207,129.0,4.0,21.0,OASE,False,61,61i,
R4S_401,231.0,7.0,15.0,Jupiter,False,14,14i,
R4S_513,135.0,4.0,27.0,J 134,False,1,1i,
R4S_380,189.0,6.0,9.0,Ceres,False,5,5i,
R4S_270,155.0,5.0,11.0,WINFRED,False,0,0,
R4S_515,160.0,5.0,16.0,S13,False,12,12i,
R4S_389,15.0,1.0,15.0,Major,False,0,0,großes Gefäß
R4S_502,195.0,6.0,15.0,Liragruen,False,0,0,großes Gefäß
R4S_257,205.0,6.0,25.0,Madrigal,False,0,0,großes Gefäß
R4S_327,33.0,1.0,33.0,MADRIGAL x RECITAL DH LINE,False,0,0,großes Gefäß
R4S_525,54.0,2.0,18.0,CAPRICORN DH1,False,0,0,großes Gefäß
